index,date,orbit,acceleration,pressure,tempreture,altitude,angleX,angleY,angleZ,lat,lang,ldr1,ldr2,ldr3,ldr4
126,03/09/2022-19.37.11,2,-236,100553,29.1,63.97,-2,5,80,-2,-2,106,106,255,133
125,03/09/2022-19.37.08,2,-360,100546,29.0,64.56,-2,4,81,-2,-2,106,106,252,132
124,03/09/2022-19.37.02,1,-292,100552,29.1,64.22,-2,5,80,-2,-2,111,111,257,137
123,03/09/2022-19.36.59,1,-316,100548,29.1,64.14,-2,5,79,-2,-2,107,107,257,134
122,03/09/2022-19.36.56,1,-312,100554,29.1,64.14,-2,5,80,-2,-2,109,109,256,136
121,03/09/2022-19.36.52,1,-220,100550,29.1,64.31,-2,5,80,-2,-2,112,112,258,138
120,03/09/2022-19.36.49,1,-340,100551,29.1,64.31,-2,5,80,-2,-2,114,114,262,141
119,03/09/2022-19.36.46,1,-320,100562,29.1,64.31,-2,5,80,-2,-2,107,107,256,134
118,03/09/2022-19.36.42,1,-356,100558,29.1,64.47,-2,5,80,-2,-2,102,102,249,128
117,03/09/2022-19.36.39,1,-276,100550,29.1,64.73,-2,5,80,-2,-2,102,102,252,128
116,03/09/2022-19.36.36,1,-308,100561,29.1,64.73,-2,5,80,-2,-2,106,106,254,133
115,03/09/2022-19.34.14,5,-236,100555,29.1,64.22,-2,5,80,-2,-2,106,106,251,134
114,03/09/2022-19.34.11,5,-324,100554,29.1,64.56,-2,5,79,-2,-2,112,112,261,138
113,03/09/2022-19.34.07,4,-308,100548,29.1,64.81,-2,6,80,-2,-2,112,112,259,138
112,03/09/2022-19.34.04,4,-292,100540,29.1,64.47,-2,5,80,-2,-2,113,113,264,140
111,03/09/2022-19.34.01,4,-272,100549,29.1,64.22,-2,6,80,-2,-2,116,116,268,143
110,03/09/2022-19.33.58,4,-368,100551,29.1,64.64,-2,5,80,-2,-2,111,111,273,132
109,03/09/2022-19.33.54,4,-192,100548,29.1,65.15,-2,5,80,-2,-2,106,106,252,131
108,03/09/2022-19.33.51,4,-212,100550,29.1,64.22,-2,5,79,-2,-2,102,102,258,133
107,03/09/2022-19.33.48,4,-196,100562,29.1,63.72,-2,4,80,-2,-2,109,109,255,135
106,03/09/2022-19.33.42,4,-440,100501,29.1,63.47,-3,6,80,-2,-2,104,104,251,132
105,03/09/2022-19.33.39,3,-412,100548,29.1,63.55,-3,5,80,-2,-2,100,100,259,134
104,03/09/2022-19.33.35,3,-308,100565,29.1,64.06,-2,5,80,-2,-2,103,103,251,135
103,03/09/2022-19.33.30,3,-328,100560,29.1,63.89,-2,5,79,-2,-2,113,113,262,140
102,03/09/2022-19.33.27,3,-300,100558,29.1,63.89,-2,5,81,-2,-2,110,110,260,137
101,03/09/2022-19.33.23,3,-244,100554,29.1,64.14,-2,5,80,-2,-2,100,100,253,134
100,03/09/2022-19.33.20,3,-244,100555,29.1,64.56,-2,5,79,-2,-2,110,110,259,137
99,03/09/2022-19.33.17,3,-360,100549,29.2,64.64,-2,5,80,-2,-2,101,101,262,135
98,03/09/2022-19.33.13,3,-236,100551,29.1,64.47,-2,5,80,-2,-2,111,111,257,138
97,03/09/2022-19.33.10,3,-208,100553,29.2,64.56,-2,5,80,-2,-2,108,108,261,136
96,03/09/2022-19.33.07,2,-264,100552,29.2,65.31,-2,5,79,-2,-2,112,112,259,138
95,03/09/2022-19.33.03,2,-248,100552,29.1,64.98,-2,5,80,-2,-2,112,112,263,139
94,03/09/2022-19.33.00,2,-256,100547,29.1,64.64,-2,5,80,-2,-2,116,116,262,138
93,03/09/2022-19.32.57,2,-252,100549,29.1,64.64,-2,4,80,-2,-2,109,109,261,136
92,03/09/2022-19.32.54,2,-284,100553,29.2,64.14,-2,4,80,-2,-2,105,105,258,133
91,03/09/2022-19.32.50,2,-248,100546,29.2,64.06,-2,6,80,-2,-2,108,108,259,135
90,03/09/2022-19.32.47,2,-400,100555,29.2,64.47,-3,5,79,-2,-2,106,106,259,133
89,03/09/2022-19.32.44,2,-268,100555,29.2,64.14,-2,5,79,-2,-2,110,110,256,136
88,03/09/2022-19.32.40,2,-372,100554,29.2,63.05,-2,5,80,-2,-2,113,113,265,128
87,03/09/2022-19.32.37,1,-276,100558,29.1,63.3,-2,5,79,-2,-2,104,104,254,135
86,03/09/2022-19.32.34,1,-224,100559,29.1,63.89,-2,5,80,-2,-2,112,112,262,138
85,03/09/2022-19.32.30,1,-216,100563,29.2,64.64,-2,5,80,-2,-2,109,109,242,123
84,03/09/2022-19.32.27,1,-308,100557,29.2,63.64,-2,5,80,-2,-2,110,110,257,137
83,03/09/2022-19.32.22,1,-224,100562,29.1,63.55,-2,5,80,-2,-2,107,107,258,134
82,03/09/2022-19.32.18,1,-260,100548,29.1,64.31,-2,5,80,-2,-2,107,107,254,133
81,03/09/2022-19.32.15,1,-308,100550,29.1,65.15,-2,5,80,-2,-2,100,100,248,132
80,03/09/2022-19.32.12,1,-312,100559,29.2,64.31,-2,5,81,-2,-2,93,93,247,129
79,03/09/2022-19.31.17,1,-272,100554,29.2,64.98,-2,5,80,-2,-2,105,105,246,121
78,03/09/2022-19.30.47,1,-276,100556,29.2,65.15,-2,5,80,-2,-2,106,106,271,134
77,03/09/2022-19.30.28,1,-196,100556,29.2,64.39,-2,5,80,-2,-2,107,107,264,126
76,03/09/2022-19.30.24,1,-272,100554,29.1,64.31,-2,5,80,-2,-2,106,106,246,121
75,03/09/2022-19.30.21,1,-332,100563,29.2,64.56,-2,4,79,-2,-2,103,103,271,132
74,03/09/2022-19.25.06,1,568,100521,29.6,67.07,3,8,80,-2,-2,93,93,235,117
73,03/09/2022-19.25.03,1,584,100513,29.5,67.32,3,7,79,-2,-2,92,92,237,117
72,03/09/2022-19.25.00,1,708,100522,29.6,67.24,3,7,80,-2,-2,86,86,206,103
71,03/09/2022-19.24.34,1,648,100521,29.6,67.49,3,7,80,-2,-2,109,109,254,131
70,03/09/2022-19.23.48,1,440,100522,29.6,66.4,2,8,80,-2,-2,93,93,237,114
69,03/09/2022-19.20.36,1,660,100511,29.4,67.91,3,9,80,-2,-2,67,67,216,91
68,03/09/2022-19.20.32,1,616,100511,29.4,67.91,3,9,80,-2,-2,60,60,198,80
67,03/09/2022-19.20.29,1,632,100513,29.4,67.49,3,9,81,-2,-2,61,61,199,81
66,03/09/2022-19.20.26,1,688,100514,29.4,67.66,3,8,81,-2,-2,67,67,218,90
65,03/09/2022-19.20.22,1,672,100516,29.4,67.83,3,8,80,-2,-2,74,74,227,95
64,03/09/2022-18.45.43,1,388,100471,30.6,71.01,2,8,80,-2,-2,90,90,229,109
63,03/09/2022-18.45.38,1,532,100468,30.6,71.26,2,8,80,-2,-2,89,89,229,110
62,03/09/2022-18.45.34,1,600,100464,30.6,70.76,3,9,79,-2,-2,85,85,229,106
61,03/09/2022-18.45.31,1,540,100476,30.6,71.35,2,8,80,-2,-2,84,84,227,105
60,03/09/2022-18.45.28,1,464,100472,30.6,71.43,2,8,80,-2,-2,87,87,229,107
59,03/09/2022-18.43.13,1,472,100464,30.7,71.77,2,8,80,-2,-2,110,110,250,130
58,03/09/2022-18.42.55,2,452,100461,30.8,72.1,2,8,80,-2,-2,112,112,251,133
57,03/09/2022-18.42.43,2,516,100470,30.8,71.26,2,8,80,-2,-2,105,105,248,125
56,03/09/2022-18.42.31,1,548,100459,30.8,71.93,2,8,80,-2,-2,106,106,248,127
55,03/09/2022-18.42.06,1,500,100455,30.8,72.27,2,8,79,-2,-2,96,96,242,116
54,03/09/2022-18.41.35,5,476,100464,30.9,72.27,2,7,80,-2,-2,99,99,241,118
53,03/09/2022-18.41.28,5,480,100458,30.9,72.18,2,8,80,-2,-2,109,109,262,129
52,03/09/2022-18.41.13,4,492,100463,30.9,72.02,2,8,80,-2,-2,91,91,232,111
51,03/09/2022-18.41.05,4,480,100457,30.9,71.93,2,8,80,-2,-2,99,99,248,122
50,03/09/2022-18.40.58,4,464,100454,30.9,72.44,2,7,80,-2,-2,91,91,234,112
49,03/09/2022-18.40.51,3,516,100459,31.0,72.1,2,8,80,-2,-2,98,98,245,119
48,03/09/2022-18.40.43,3,672,100465,31.0,72.1,3,8,80,-2,-2,90,90,230,111
47,03/09/2022-18.40.36,3,584,100458,31.0,72.52,3,8,79,-2,-2,89,89,226,109
46,03/09/2022-18.40.29,3,496,100460,31.0,72.1,2,8,79,-2,-2,105,105,258,124
45,03/09/2022-18.40.22,3,480,100455,31.0,73.02,2,7,80,-2,-2,91,91,228,111
44,03/09/2022-18.40.14,2,532,100449,30.9,72.52,2,8,80,-2,-2,111,111,262,131
43,03/09/2022-18.40.07,2,532,100457,30.9,72.18,2,8,80,-2,-2,97,97,244,118
42,03/09/2022-18.40.00,2,492,100459,30.9,72.52,2,8,81,-2,-2,90,90,232,110
41,03/09/2022-18.39.52,2,500,100454,30.9,72.69,2,9,80,-2,-2,107,107,258,127
40,03/09/2022-18.39.45,1,652,100452,30.9,72.77,3,8,80,-2,-2,89,89,227,110
39,03/09/2022-18.39.38,1,524,100451,30.9,72.77,2,8,80,-2,-2,109,109,262,129
38,03/09/2022-18.39.31,1,584,100453,30.9,72.94,3,8,79,-2,-2,93,93,236,113
37,03/09/2022-18.39.23,1,492,100458,30.9,72.94,2,7,80,-2,-2,85,85,224,106
36,03/09/2022-18.39.11,1,500,100456,30.9,72.6,2,8,79,-2,-2,96,96,240,117
35,03/09/2022-18.39.04,1,500,100451,30.9,72.94,2,8,80,-2,-2,84,84,212,106
34,03/09/2022-18.38.56,1,600,100452,30.9,72.94,3,9,80,-2,-2,99,99,245,118
33,03/09/2022-18.38.43,3,384,100452,30.9,72.77,2,7,79,-2,-2,91,91,234,110
32,03/09/2022-18.38.36,3,428,100458,30.9,71.85,2,8,80,-2,-2,88,88,228,107
31,03/09/2022-18.38.29,2,544,100452,30.9,72.52,2,8,80,-2,-2,86,86,225,106
30,03/09/2022-18.38.22,2,340,100459,30.9,72.35,1,8,80,-2,-2,86,86,223,102
29,03/09/2022-18.38.14,2,472,100463,30.9,72.18,2,8,81,-2,-2,89,89,225,108
28,03/09/2022-18.38.07,2,444,100465,31.0,72.18,2,8,80,-2,-2,89,89,229,110
27,03/09/2022-18.37.53,1,580,100464,31.0,72.02,3,7,79,-2,-2,106,106,256,126
26,03/09/2022-18.37.38,1,440,100457,31.0,72.77,2,8,80,-2,-2,93,93,238,114
25,03/09/2022-18.33.11,3,604,100449,31.0,73.44,3,8,79,-2,-2,102,102,255,122
24,03/09/2022-18.33.04,3,540,100449,31.0,73.28,2,8,79,-2,-2,82,82,219,103
23,03/09/2022-18.32.57,3,488,100454,31.0,72.52,2,8,80,-2,-2,103,103,254,122
22,03/09/2022-18.32.50,3,436,100446,31.0,72.86,2,8,80,-2,-2,93,93,235,113
21,03/09/2022-18.32.42,2,472,100452,31.0,73.11,2,8,80,-2,-2,106,106,259,125
20,03/09/2022-18.32.35,2,620,100451,31.0,73.28,3,9,80,-2,-2,93,93,237,113
19,03/09/2022-18.32.28,2,552,100446,31.0,73.28,2,8,79,-2,-2,95,95,242,114
18,03/09/2022-18.32.20,2,480,100448,31.0,73.28,2,8,80,-2,-2,93,93,241,114
17,03/09/2022-18.32.13,1,520,100451,31.0,73.28,2,8,79,-2,-2,86,86,227,107
16,03/09/2022-18.32.06,1,456,100449,31.0,73.28,2,8,79,-2,-2,103,103,258,123
15,03/09/2022-18.31.59,1,524,100443,31.0,73.19,2,8,80,-2,-2,89,89,228,109
14,03/09/2022-18.31.51,1,528,100445,31.0,73.36,2,8,80,-2,-2,106,106,258,125
13,03/09/2022-18.31.00,1,628,100445,31.0,73.19,3,8,80,-2,-2,87,87,224,107
12,03/09/2022-18.30.53,1,624,100442,31.0,73.44,3,8,79,-2,-2,96,96,248,119
11,03/09/2022-18.30.45,1,528,100447,31.0,72.77,2,8,80,-2,-2,97,97,246,117
10,03/09/2022-18.30.27,1,368,100456,31.0,72.77,1,8,80,-2,-2,102,102,262,119
9,03/09/2022-18.24.21,1,524,100434,31.2,74.62,2,8,79,-2,-2,102,102,256,121
8,03/09/2022-18.23.51,3,436,100433,31.2,73.78,2,8,79,-2,-2,101,101,258,122
7,03/09/2022-18.23.44,2,452,100433,31.2,74.62,2,8,79,-2,-2,102,102,258,122
6,03/09/2022-18.23.37,2,384,100442,31.2,73.86,2,8,80,-2,-2,107,107,266,128
5,03/09/2022-18.23.29,2,500,100431,31.2,74.62,2,8,79,-2,-2,115,115,278,131
4,03/09/2022-18.23.22,2,396,100436,31.2,74.11,2,8,80,-2,-2,100,100,259,121
3,03/09/2022-18.23.15,1,428,100432,31.2,74.53,2,8,80,-2,-2,88,88,245,109
2,03/09/2022-18.23.08,1,420,100435,31.2,74.11,2,8,79,-2,-2,118,118,283,138
1,03/09/2022-18.23.00,1,360,100434,31.2,74.36,1,8,80,-2,-2,104,104,263,125
0,03/09/2022-18.22.53,1,448,100435,31.2,74.87,2,8,80,-2,-2,102,102,264,122
